,Unnamed: 0,x,y,r,g,b,Title,Artist,Year,Genre
2292,2292,8.902276,8.202031,0.4170190288243576,0.9319717058944492,0.786726065136921,キケンナアソビ,Creep Hyp,2021,JRock
2293,2293,10.927585,1.2569257,0.0522421819321714,0.966577466213446,0.4807378766018384,Money,10Tik,2021,Dancehall
2294,2294,11.152215,4.1619067,0.083513314954425,0.9620924456753474,0.4299042920199762,Born to Fly,Sara Evans,2000,Country
2295,2295,10.660162,4.4747534,0.1150756129246444,0.9573238718671756,0.5785262203845505,The Bashment Track,Baobinga,2004,Breakbeat
2296,2296,7.5979447,3.1780446,0.2937509719799432,0.5561202186303841,0.291042178265641,Good Bye,"Rin音, asmi, maeshima soshi",2023,JPop
2297,2297,0.13656406,5.9905405,0.8728762569599509,0.9617178382349096,0.513312861683389,ACID REFLUX,Monxx,2022,Dubstep
2298,2298,-1.1353811,2.6939,0.9521670845966924,0.9802127366337736,0.7126634762669468,"NO, Thank You!",Ho - Kago Tea Time,2010,Anime
2299,2299,5.2914743,4.755375,0.6034024188057081,0.7746554543229285,0.268845600560114,Misantropo a senso unico,Cripple Bastards,2000,Grindcore
2300,2300,3.9346368,2.247615,0.7469113789156708,0.5784864496886764,0.4865116800109914,"It's A Man's, Man's, Man's World",James Brown & The Famous Flames,1966,Soul
2301,2301,6.70925,3.1846256,0.4454986663167002,0.4413707979834527,0.1923501448922324,Delilah,BIGFLO,2014,KPop
2302,2302,8.984021,9.748419,0.4474631414781571,0.9720772052866384,0.9452972170050192,Too Loud,Required,2023,Hardstyle
2303,2303,9.298357,1.8570063,0.1027539017578184,0.8708232731114613,0.3889829571158721,Grouplove,"Anden, Yotto",2021,ProgressiveHouse
2304,2304,10.188575,4.880078,0.2290114506501972,0.9418077992661852,0.516166503658445,Velitas,"Darell, Brytiago",2019,Reggaeton
2305,2305,-0.81634045,2.978257,0.9436851396054292,0.9755242432107906,0.5571770615449839,"The Lord of the Rings: The Council of Elrond ""Aniron"" (Theme for Aragorn and Arwen)","Howard Shore, Olga Peretyatko, NDR Radiophilharmonie, Ben Palmer",2020,Opera
